"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Delete file","LMS service","Sun Mar 01 13:48:55 UTC 2026","passed","Sun Mar 01 13:48:55 UTC 2026","Delete entity","Files","",""
"","18","Create file with empty directory","LMS service","Sun Mar 01 13:48:56 UTC 2026","passed","Sun Mar 01 13:48:56 UTC 2026","Validate entity","Files","",""
"","27","Create exercise","LMS service","Sun Mar 01 13:48:51 UTC 2026","passed","Sun Mar 01 13:48:51 UTC 2026","Create entity","Exercises","",""
"","50","Get exercise","LMS service","Sun Mar 01 13:48:52 UTC 2026","passed","Sun Mar 01 13:48:52 UTC 2026","Get entity","Exercises","",""
"","598","Create user","LMS service","Sun Mar 01 13:48:56 UTC 2026","passed","Sun Mar 01 13:48:57 UTC 2026","Create entity","Users","",""
"","22","Create file","LMS service","Sun Mar 01 13:48:53 UTC 2026","passed","Sun Mar 01 13:48:53 UTC 2026","Create entity","Files","",""
"","35","Update course","LMS service","Sun Mar 01 13:48:49 UTC 2026","passed","Sun Mar 01 13:48:49 UTC 2026","Update entity","Courses","",""
"","20","Delete exercise","LMS service","Sun Mar 01 13:48:52 UTC 2026","passed","Sun Mar 01 13:48:52 UTC 2026","Delete entity","Exercises","",""
"","27","Get courses","LMS service","Sun Mar 01 13:48:48 UTC 2026","passed","Sun Mar 01 13:48:48 UTC 2026","Get entities","Courses","",""
"","622","Login with correct email and password","LMS service","Sun Mar 01 13:48:47 UTC 2026","passed","Sun Mar 01 13:48:48 UTC 2026","Login","Authentication","",""
"","625","Create user","LMS service","Sun Mar 01 13:48:57 UTC 2026","passed","Sun Mar 01 13:48:58 UTC 2026","Create entity","Users","",""
"","305","Get file with incorrect file id","LMS service","Sun Mar 01 13:48:57 UTC 2026","passed","Sun Mar 01 13:48:57 UTC 2026","Validate entity","Files","",""
"","25","Create course","LMS service","Sun Mar 01 13:48:49 UTC 2026","passed","Sun Mar 01 13:48:49 UTC 2026","Create entity","Courses","",""
"","16","Get file","LMS service","Sun Mar 01 13:48:55 UTC 2026","passed","Sun Mar 01 13:48:55 UTC 2026","Get entity","Files","",""
"","602","Create user","LMS service","Sun Mar 01 13:48:56 UTC 2026","passed","Sun Mar 01 13:48:56 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sun Mar 01 13:48:58 UTC 2026","passed","Sun Mar 01 13:48:58 UTC 2026","Get entity","Users","",""
"","21","Update exercise","LMS service","Sun Mar 01 13:48:51 UTC 2026","passed","Sun Mar 01 13:48:51 UTC 2026","Update entity","Exercises","",""
"","301","Create file with empty filename","LMS service","Sun Mar 01 13:48:56 UTC 2026","passed","Sun Mar 01 13:48:56 UTC 2026","Validate entity","Files","",""
"","20","Get exercises","LMS service","Sun Mar 01 13:48:53 UTC 2026","passed","Sun Mar 01 13:48:53 UTC 2026","Get entities","Exercises","",""
