"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Get file with incorrect file id","LMS service","Tue Dec 16 12:03:27 UTC 2025","passed","Tue Dec 16 12:03:27 UTC 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Tue Dec 16 12:03:25 UTC 2025","passed","Tue Dec 16 12:03:25 UTC 2025","Get entity","Files","",""
"","20","Delete file","LMS service","Tue Dec 16 12:03:25 UTC 2025","passed","Tue Dec 16 12:03:25 UTC 2025","Delete entity","Files","",""
"","22","Create file","LMS service","Tue Dec 16 12:03:23 UTC 2025","passed","Tue Dec 16 12:03:23 UTC 2025","Create entity","Files","",""
"","557","Create user","LMS service","Tue Dec 16 12:03:27 UTC 2025","passed","Tue Dec 16 12:03:27 UTC 2025","Create entity","Users","",""
"","263","Create file with empty filename","LMS service","Tue Dec 16 12:03:25 UTC 2025","passed","Tue Dec 16 12:03:26 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Tue Dec 16 12:03:28 UTC 2025","passed","Tue Dec 16 12:03:28 UTC 2025","Get entity","Users","",""
"","35","Create course","LMS service","Tue Dec 16 12:03:20 UTC 2025","passed","Tue Dec 16 12:03:20 UTC 2025","Create entity","Courses","",""
"","529","Create user","LMS service","Tue Dec 16 12:03:26 UTC 2025","passed","Tue Dec 16 12:03:27 UTC 2025","Create entity","Users","",""
"","27","Get courses","LMS service","Tue Dec 16 12:03:19 UTC 2025","passed","Tue Dec 16 12:03:19 UTC 2025","Get entities","Courses","",""
"","23","Create exercise","LMS service","Tue Dec 16 12:03:21 UTC 2025","passed","Tue Dec 16 12:03:21 UTC 2025","Create entity","Exercises","",""
"","22","Get exercises","LMS service","Tue Dec 16 12:03:23 UTC 2025","passed","Tue Dec 16 12:03:23 UTC 2025","Get entities","Exercises","",""
"","20","Create file with empty directory","LMS service","Tue Dec 16 12:03:26 UTC 2025","passed","Tue Dec 16 12:03:26 UTC 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Tue Dec 16 12:03:22 UTC 2025","passed","Tue Dec 16 12:03:22 UTC 2025","Delete entity","Exercises","",""
"","535","Create user","LMS service","Tue Dec 16 12:03:26 UTC 2025","passed","Tue Dec 16 12:03:26 UTC 2025","Create entity","Users","",""
"","33","Update course","LMS service","Tue Dec 16 12:03:20 UTC 2025","passed","Tue Dec 16 12:03:20 UTC 2025","Update entity","Courses","",""
"","555","Login with correct email and password","LMS service","Tue Dec 16 12:03:18 UTC 2025","passed","Tue Dec 16 12:03:19 UTC 2025","Login","Authentication","",""
"","20","Update exercise","LMS service","Tue Dec 16 12:03:21 UTC 2025","passed","Tue Dec 16 12:03:21 UTC 2025","Update entity","Exercises","",""
"","48","Get exercise","LMS service","Tue Dec 16 12:03:22 UTC 2025","passed","Tue Dec 16 12:03:22 UTC 2025","Get entity","Exercises","",""
