"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get exercises","LMS service","Thu Dec 18 08:00:20 UTC 2025","passed","Thu Dec 18 08:00:20 UTC 2025","Get entities","Exercises","",""
"","42","Update course","LMS service","Thu Dec 18 08:00:16 UTC 2025","passed","Thu Dec 18 08:00:16 UTC 2025","Update entity","Courses","",""
"","25","Create file","LMS service","Thu Dec 18 08:00:20 UTC 2025","passed","Thu Dec 18 08:00:20 UTC 2025","Create entity","Files","",""
"","34","Get courses","LMS service","Thu Dec 18 08:00:15 UTC 2025","passed","Thu Dec 18 08:00:15 UTC 2025","Get entities","Courses","",""
"","265","Get file with incorrect file id","LMS service","Thu Dec 18 08:00:23 UTC 2025","passed","Thu Dec 18 08:00:23 UTC 2025","Validate entity","Files","",""
"","18","Get file","LMS service","Thu Dec 18 08:00:21 UTC 2025","passed","Thu Dec 18 08:00:21 UTC 2025","Get entity","Files","",""
"","521","Create user","LMS service","Thu Dec 18 08:00:23 UTC 2025","passed","Thu Dec 18 08:00:23 UTC 2025","Create entity","Users","",""
"","19","Create file with empty directory","LMS service","Thu Dec 18 08:00:22 UTC 2025","passed","Thu Dec 18 08:00:22 UTC 2025","Validate entity","Files","",""
"","21","Delete file","LMS service","Thu Dec 18 08:00:21 UTC 2025","passed","Thu Dec 18 08:00:21 UTC 2025","Delete entity","Files","",""
"","530","Create user","LMS service","Thu Dec 18 08:00:22 UTC 2025","passed","Thu Dec 18 08:00:23 UTC 2025","Create entity","Users","",""
"","26","Update exercise","LMS service","Thu Dec 18 08:00:17 UTC 2025","passed","Thu Dec 18 08:00:17 UTC 2025","Update entity","Exercises","",""
"","21","Get exercise","LMS service","Thu Dec 18 08:00:19 UTC 2025","passed","Thu Dec 18 08:00:19 UTC 2025","Get entity","Exercises","",""
"","262","Create file with empty filename","LMS service","Thu Dec 18 08:00:22 UTC 2025","passed","Thu Dec 18 08:00:22 UTC 2025","Validate entity","Files","",""
"","25","Create exercise","LMS service","Thu Dec 18 08:00:17 UTC 2025","passed","Thu Dec 18 08:00:17 UTC 2025","Create entity","Exercises","",""
"","555","Create user","LMS service","Thu Dec 18 08:00:23 UTC 2025","passed","Thu Dec 18 08:00:24 UTC 2025","Create entity","Users","",""
"","13","Get user me","LMS service","Thu Dec 18 08:00:24 UTC 2025","passed","Thu Dec 18 08:00:24 UTC 2025","Get entity","Users","",""
"","553","Login with correct email and password","LMS service","Thu Dec 18 08:00:14 UTC 2025","passed","Thu Dec 18 08:00:15 UTC 2025","Login","Authentication","",""
"","21","Delete exercise","LMS service","Thu Dec 18 08:00:19 UTC 2025","passed","Thu Dec 18 08:00:19 UTC 2025","Delete entity","Exercises","",""
"","33","Create course","LMS service","Thu Dec 18 08:00:16 UTC 2025","passed","Thu Dec 18 08:00:16 UTC 2025","Create entity","Courses","",""
