"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Update course","LMS service","Tue Dec 16 14:02:37 UTC 2025","passed","Tue Dec 16 14:02:37 UTC 2025","Update entity","Courses","",""
"","553","Create user","LMS service","Tue Dec 16 14:02:44 UTC 2025","passed","Tue Dec 16 14:02:45 UTC 2025","Create entity","Users","",""
"","14","Get user me","LMS service","Tue Dec 16 14:02:45 UTC 2025","passed","Tue Dec 16 14:02:45 UTC 2025","Get entity","Users","",""
"","32","Get courses","LMS service","Tue Dec 16 14:02:36 UTC 2025","passed","Tue Dec 16 14:02:36 UTC 2025","Get entities","Courses","",""
"","20","Delete file","LMS service","Tue Dec 16 14:02:42 UTC 2025","passed","Tue Dec 16 14:02:42 UTC 2025","Delete entity","Files","",""
"","290","Update exercise","LMS service","Tue Dec 16 14:02:39 UTC 2025","passed","Tue Dec 16 14:02:39 UTC 2025","Update entity","Exercises","",""
"","262","Create file","LMS service","Tue Dec 16 14:02:41 UTC 2025","passed","Tue Dec 16 14:02:41 UTC 2025","Create entity","Files","",""
"","266","Create file with empty filename","LMS service","Tue Dec 16 14:02:43 UTC 2025","passed","Tue Dec 16 14:02:43 UTC 2025","Validate entity","Files","",""
"","28","Create course","LMS service","Tue Dec 16 14:02:38 UTC 2025","passed","Tue Dec 16 14:02:38 UTC 2025","Create entity","Courses","",""
"","286","Login with correct email and password","LMS service","Tue Dec 16 14:02:35 UTC 2025","passed","Tue Dec 16 14:02:36 UTC 2025","Login","Authentication","",""
"","23","Create exercise","LMS service","Tue Dec 16 14:02:38 UTC 2025","passed","Tue Dec 16 14:02:38 UTC 2025","Create entity","Exercises","",""
"","17","Get exercises","LMS service","Tue Dec 16 14:02:41 UTC 2025","passed","Tue Dec 16 14:02:41 UTC 2025","Get entities","Exercises","",""
"","287","Create user","LMS service","Tue Dec 16 14:02:44 UTC 2025","passed","Tue Dec 16 14:02:44 UTC 2025","Create entity","Users","",""
"","268","Create file with empty directory","LMS service","Tue Dec 16 14:02:43 UTC 2025","passed","Tue Dec 16 14:02:43 UTC 2025","Validate entity","Files","",""
"","548","Create user","LMS service","Tue Dec 16 14:02:44 UTC 2025","passed","Tue Dec 16 14:02:44 UTC 2025","Create entity","Users","",""
"","288","Delete exercise","LMS service","Tue Dec 16 14:02:40 UTC 2025","passed","Tue Dec 16 14:02:40 UTC 2025","Delete entity","Exercises","",""
"","260","Get file with incorrect file id","LMS service","Tue Dec 16 14:02:44 UTC 2025","passed","Tue Dec 16 14:02:44 UTC 2025","Validate entity","Files","",""
"","16","Get exercise","LMS service","Tue Dec 16 14:02:39 UTC 2025","passed","Tue Dec 16 14:02:39 UTC 2025","Get entity","Exercises","",""
"","13","Get file","LMS service","Tue Dec 16 14:02:42 UTC 2025","passed","Tue Dec 16 14:02:42 UTC 2025","Get entity","Files","",""
