"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","557","Create user","LMS service","Wed Dec 17 15:13:44 UTC 2025","passed","Wed Dec 17 15:13:45 UTC 2025","Create entity","Users","",""
"","18","Get file","LMS service","Wed Dec 17 15:13:42 UTC 2025","passed","Wed Dec 17 15:13:42 UTC 2025","Get entity","Files","",""
"","270","Get file with incorrect file id","LMS service","Wed Dec 17 15:13:44 UTC 2025","passed","Wed Dec 17 15:13:44 UTC 2025","Validate entity","Files","",""
"","28","Create exercise","LMS service","Wed Dec 17 15:13:38 UTC 2025","passed","Wed Dec 17 15:13:38 UTC 2025","Create entity","Exercises","",""
"","23","Delete exercise","LMS service","Wed Dec 17 15:13:40 UTC 2025","passed","Wed Dec 17 15:13:40 UTC 2025","Delete entity","Exercises","",""
"","22","Delete file","LMS service","Wed Dec 17 15:13:43 UTC 2025","passed","Wed Dec 17 15:13:43 UTC 2025","Delete entity","Files","",""
"","32","Create course","LMS service","Wed Dec 17 15:13:38 UTC 2025","passed","Wed Dec 17 15:13:38 UTC 2025","Create entity","Courses","",""
"","288","Update exercise","LMS service","Wed Dec 17 15:13:39 UTC 2025","passed","Wed Dec 17 15:13:39 UTC 2025","Update entity","Exercises","",""
"","308","Get courses","LMS service","Wed Dec 17 15:13:36 UTC 2025","passed","Wed Dec 17 15:13:37 UTC 2025","Get entities","Courses","",""
"","302","Update course","LMS service","Wed Dec 17 15:13:37 UTC 2025","passed","Wed Dec 17 15:13:37 UTC 2025","Update entity","Courses","",""
"","16","Get user me","LMS service","Wed Dec 17 15:13:45 UTC 2025","passed","Wed Dec 17 15:13:45 UTC 2025","Get entity","Users","",""
"","270","Create file","LMS service","Wed Dec 17 15:13:41 UTC 2025","passed","Wed Dec 17 15:13:41 UTC 2025","Create entity","Files","",""
"","292","Create user","LMS service","Wed Dec 17 15:13:44 UTC 2025","passed","Wed Dec 17 15:13:45 UTC 2025","Create entity","Users","",""
"","287","Get exercises","LMS service","Wed Dec 17 15:13:40 UTC 2025","passed","Wed Dec 17 15:13:41 UTC 2025","Get entities","Exercises","",""
"","549","Create user","LMS service","Wed Dec 17 15:13:44 UTC 2025","passed","Wed Dec 17 15:13:44 UTC 2025","Create entity","Users","",""
"","261","Create file with empty directory","LMS service","Wed Dec 17 15:13:43 UTC 2025","passed","Wed Dec 17 15:13:44 UTC 2025","Validate entity","Files","",""
"","259","Create file with empty filename","LMS service","Wed Dec 17 15:13:43 UTC 2025","passed","Wed Dec 17 15:13:43 UTC 2025","Validate entity","Files","",""
"","286","Login with correct email and password","LMS service","Wed Dec 17 15:13:36 UTC 2025","passed","Wed Dec 17 15:13:36 UTC 2025","Login","Authentication","",""
"","21","Get exercise","LMS service","Wed Dec 17 15:13:39 UTC 2025","passed","Wed Dec 17 15:13:40 UTC 2025","Get entity","Exercises","",""
