"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Get file with incorrect file id","LMS service","Tue Dec 16 13:20:30 UTC 2025","passed","Tue Dec 16 13:20:30 UTC 2025","Validate entity","Files","",""
"","19","Get exercises","LMS service","Tue Dec 16 13:20:26 UTC 2025","passed","Tue Dec 16 13:20:26 UTC 2025","Get entities","Exercises","",""
"","19","Delete file","LMS service","Tue Dec 16 13:20:28 UTC 2025","passed","Tue Dec 16 13:20:28 UTC 2025","Delete entity","Files","",""
"","13","Get file","LMS service","Tue Dec 16 13:20:28 UTC 2025","passed","Tue Dec 16 13:20:28 UTC 2025","Get entity","Files","",""
"","20","Create file","LMS service","Tue Dec 16 13:20:26 UTC 2025","passed","Tue Dec 16 13:20:26 UTC 2025","Create entity","Files","",""
"","528","Create user","LMS service","Tue Dec 16 13:20:29 UTC 2025","passed","Tue Dec 16 13:20:30 UTC 2025","Create entity","Users","",""
"","15","Create file with empty directory","LMS service","Tue Dec 16 13:20:29 UTC 2025","passed","Tue Dec 16 13:20:29 UTC 2025","Validate entity","Files","",""
"","28","Create course","LMS service","Tue Dec 16 13:20:23 UTC 2025","passed","Tue Dec 16 13:20:23 UTC 2025","Create entity","Courses","",""
"","19","Get exercise","LMS service","Tue Dec 16 13:20:25 UTC 2025","passed","Tue Dec 16 13:20:25 UTC 2025","Get entity","Exercises","",""
"","19","Update exercise","LMS service","Tue Dec 16 13:20:24 UTC 2025","passed","Tue Dec 16 13:20:24 UTC 2025","Update entity","Exercises","",""
"","549","Create user","LMS service","Tue Dec 16 13:20:30 UTC 2025","passed","Tue Dec 16 13:20:30 UTC 2025","Create entity","Users","",""
"","22","Delete exercise","LMS service","Tue Dec 16 13:20:25 UTC 2025","passed","Tue Dec 16 13:20:25 UTC 2025","Delete entity","Exercises","",""
"","550","Login with correct email and password","LMS service","Tue Dec 16 13:20:21 UTC 2025","passed","Tue Dec 16 13:20:22 UTC 2025","Login","Authentication","",""
"","303","Update course","LMS service","Tue Dec 16 13:20:23 UTC 2025","passed","Tue Dec 16 13:20:23 UTC 2025","Update entity","Courses","",""
"","13","Get user me","LMS service","Tue Dec 16 13:20:31 UTC 2025","passed","Tue Dec 16 13:20:31 UTC 2025","Get entity","Users","",""
"","262","Create file with empty filename","LMS service","Tue Dec 16 13:20:29 UTC 2025","passed","Tue Dec 16 13:20:29 UTC 2025","Validate entity","Files","",""
"","532","Create user","LMS service","Tue Dec 16 13:20:29 UTC 2025","passed","Tue Dec 16 13:20:29 UTC 2025","Create entity","Users","",""
"","27","Create exercise","LMS service","Tue Dec 16 13:20:24 UTC 2025","passed","Tue Dec 16 13:20:24 UTC 2025","Create entity","Exercises","",""
"","29","Get courses","LMS service","Tue Dec 16 13:20:22 UTC 2025","passed","Tue Dec 16 13:20:22 UTC 2025","Get entities","Courses","",""
