"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Create exercise","LMS service","Wed Dec 17 03:41:19 UTC 2025","passed","Wed Dec 17 03:41:19 UTC 2025","Create entity","Exercises","",""
"","260","Create file with empty filename","LMS service","Wed Dec 17 03:41:23 UTC 2025","passed","Wed Dec 17 03:41:23 UTC 2025","Validate entity","Files","",""
"","31","Get courses","LMS service","Wed Dec 17 03:41:17 UTC 2025","passed","Wed Dec 17 03:41:17 UTC 2025","Get entities","Courses","",""
"","541","Create user","LMS service","Wed Dec 17 03:41:24 UTC 2025","passed","Wed Dec 17 03:41:25 UTC 2025","Create entity","Users","",""
"","270","Create file with empty directory","LMS service","Wed Dec 17 03:41:24 UTC 2025","passed","Wed Dec 17 03:41:24 UTC 2025","Validate entity","Files","",""
"","290","Update exercise","LMS service","Wed Dec 17 03:41:19 UTC 2025","passed","Wed Dec 17 03:41:19 UTC 2025","Update entity","Exercises","",""
"","284","Login with correct email and password","LMS service","Wed Dec 17 03:41:16 UTC 2025","passed","Wed Dec 17 03:41:16 UTC 2025","Login","Authentication","",""
"","19","Delete file","LMS service","Wed Dec 17 03:41:23 UTC 2025","passed","Wed Dec 17 03:41:23 UTC 2025","Delete entity","Files","",""
"","557","Create user","LMS service","Wed Dec 17 03:41:25 UTC 2025","passed","Wed Dec 17 03:41:25 UTC 2025","Create entity","Users","",""
"","15","Get exercise","LMS service","Wed Dec 17 03:41:20 UTC 2025","passed","Wed Dec 17 03:41:20 UTC 2025","Get entity","Exercises","",""
"","294","Delete exercise","LMS service","Wed Dec 17 03:41:20 UTC 2025","passed","Wed Dec 17 03:41:21 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Wed Dec 17 03:41:26 UTC 2025","passed","Wed Dec 17 03:41:26 UTC 2025","Get entity","Users","",""
"","266","Get file with incorrect file id","LMS service","Wed Dec 17 03:41:24 UTC 2025","passed","Wed Dec 17 03:41:25 UTC 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Wed Dec 17 03:41:22 UTC 2025","passed","Wed Dec 17 03:41:22 UTC 2025","Get entity","Files","",""
"","30","Create course","LMS service","Wed Dec 17 03:41:18 UTC 2025","passed","Wed Dec 17 03:41:18 UTC 2025","Create entity","Courses","",""
"","264","Create file","LMS service","Wed Dec 17 03:41:21 UTC 2025","passed","Wed Dec 17 03:41:22 UTC 2025","Create entity","Files","",""
"","288","Create user","LMS service","Wed Dec 17 03:41:25 UTC 2025","passed","Wed Dec 17 03:41:25 UTC 2025","Create entity","Users","",""
"","31","Update course","LMS service","Wed Dec 17 03:41:17 UTC 2025","passed","Wed Dec 17 03:41:17 UTC 2025","Update entity","Courses","",""
"","16","Get exercises","LMS service","Wed Dec 17 03:41:21 UTC 2025","passed","Wed Dec 17 03:41:21 UTC 2025","Get entities","Exercises","",""
