"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","530","Create user","LMS service","Wed Dec 17 15:11:28 UTC 2025","passed","Wed Dec 17 15:11:29 UTC 2025","Create entity","Users","",""
"","19","Delete file","LMS service","Wed Dec 17 15:11:26 UTC 2025","passed","Wed Dec 17 15:11:26 UTC 2025","Delete entity","Files","",""
"","13","Get user me","LMS service","Wed Dec 17 15:11:30 UTC 2025","passed","Wed Dec 17 15:11:30 UTC 2025","Get entity","Users","",""
"","29","Get courses","LMS service","Wed Dec 17 15:11:21 UTC 2025","passed","Wed Dec 17 15:11:21 UTC 2025","Get entities","Courses","",""
"","20","Create file with empty directory","LMS service","Wed Dec 17 15:11:28 UTC 2025","passed","Wed Dec 17 15:11:28 UTC 2025","Validate entity","Files","",""
"","36","Update course","LMS service","Wed Dec 17 15:11:22 UTC 2025","passed","Wed Dec 17 15:11:22 UTC 2025","Update entity","Courses","",""
"","25","Get exercises","LMS service","Wed Dec 17 15:11:25 UTC 2025","passed","Wed Dec 17 15:11:25 UTC 2025","Get entities","Exercises","",""
"","559","Create user","LMS service","Wed Dec 17 15:11:29 UTC 2025","passed","Wed Dec 17 15:11:29 UTC 2025","Create entity","Users","",""
"","538","Create user","LMS service","Wed Dec 17 15:11:28 UTC 2025","passed","Wed Dec 17 15:11:28 UTC 2025","Create entity","Users","",""
"","20","Delete exercise","LMS service","Wed Dec 17 15:11:24 UTC 2025","passed","Wed Dec 17 15:11:24 UTC 2025","Delete entity","Exercises","",""
"","25","Create exercise","LMS service","Wed Dec 17 15:11:23 UTC 2025","passed","Wed Dec 17 15:11:23 UTC 2025","Create entity","Exercises","",""
"","48","Get exercise","LMS service","Wed Dec 17 15:11:24 UTC 2025","passed","Wed Dec 17 15:11:24 UTC 2025","Get entity","Exercises","",""
"","269","Create file with empty filename","LMS service","Wed Dec 17 15:11:27 UTC 2025","passed","Wed Dec 17 15:11:28 UTC 2025","Validate entity","Files","",""
"","28","Create course","LMS service","Wed Dec 17 15:11:22 UTC 2025","passed","Wed Dec 17 15:11:22 UTC 2025","Create entity","Courses","",""
"","22","Create file","LMS service","Wed Dec 17 15:11:25 UTC 2025","passed","Wed Dec 17 15:11:25 UTC 2025","Create entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Wed Dec 17 15:11:28 UTC 2025","passed","Wed Dec 17 15:11:29 UTC 2025","Validate entity","Files","",""
"","25","Update exercise","LMS service","Wed Dec 17 15:11:23 UTC 2025","passed","Wed Dec 17 15:11:23 UTC 2025","Update entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Wed Dec 17 15:11:20 UTC 2025","passed","Wed Dec 17 15:11:20 UTC 2025","Login","Authentication","",""
"","14","Get file","LMS service","Wed Dec 17 15:11:26 UTC 2025","passed","Wed Dec 17 15:11:26 UTC 2025","Get entity","Files","",""
