"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","284","Login with correct email and password","LMS service","Tue Dec 16 13:24:34 UTC 2025","passed","Tue Dec 16 13:24:34 UTC 2025","Login","Authentication","",""
"","524","Create user","LMS service","Tue Dec 16 13:24:42 UTC 2025","passed","Tue Dec 16 13:24:43 UTC 2025","Create entity","Users","",""
"","28","Create course","LMS service","Tue Dec 16 13:24:36 UTC 2025","passed","Tue Dec 16 13:24:36 UTC 2025","Create entity","Courses","",""
"","298","Update course","LMS service","Tue Dec 16 13:24:35 UTC 2025","passed","Tue Dec 16 13:24:36 UTC 2025","Update entity","Courses","",""
"","13","Get user me","LMS service","Tue Dec 16 13:24:44 UTC 2025","passed","Tue Dec 16 13:24:44 UTC 2025","Get entity","Users","",""
"","22","Update exercise","LMS service","Tue Dec 16 13:24:37 UTC 2025","passed","Tue Dec 16 13:24:37 UTC 2025","Update entity","Exercises","",""
"","31","Get courses","LMS service","Tue Dec 16 13:24:35 UTC 2025","passed","Tue Dec 16 13:24:35 UTC 2025","Get entities","Courses","",""
"","535","Create user","LMS service","Tue Dec 16 13:24:42 UTC 2025","passed","Tue Dec 16 13:24:42 UTC 2025","Create entity","Users","",""
"","17","Create file with empty directory","LMS service","Tue Dec 16 13:24:42 UTC 2025","passed","Tue Dec 16 13:24:42 UTC 2025","Validate entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Tue Dec 16 13:24:43 UTC 2025","passed","Tue Dec 16 13:24:43 UTC 2025","Validate entity","Files","",""
"","45","Get exercise","LMS service","Tue Dec 16 13:24:38 UTC 2025","passed","Tue Dec 16 13:24:38 UTC 2025","Get entity","Exercises","",""
"","24","Create exercise","LMS service","Tue Dec 16 13:24:37 UTC 2025","passed","Tue Dec 16 13:24:37 UTC 2025","Create entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Tue Dec 16 13:24:41 UTC 2025","passed","Tue Dec 16 13:24:42 UTC 2025","Validate entity","Files","",""
"","23","Delete exercise","LMS service","Tue Dec 16 13:24:38 UTC 2025","passed","Tue Dec 16 13:24:38 UTC 2025","Delete entity","Exercises","",""
"","558","Create user","LMS service","Tue Dec 16 13:24:43 UTC 2025","passed","Tue Dec 16 13:24:43 UTC 2025","Create entity","Users","",""
"","14","Get file","LMS service","Tue Dec 16 13:24:41 UTC 2025","passed","Tue Dec 16 13:24:41 UTC 2025","Get entity","Files","",""
"","24","Get exercises","LMS service","Tue Dec 16 13:24:39 UTC 2025","passed","Tue Dec 16 13:24:39 UTC 2025","Get entities","Exercises","",""
"","21","Create file","LMS service","Tue Dec 16 13:24:39 UTC 2025","passed","Tue Dec 16 13:24:39 UTC 2025","Create entity","Files","",""
"","19","Delete file","LMS service","Tue Dec 16 13:24:40 UTC 2025","passed","Tue Dec 16 13:24:40 UTC 2025","Delete entity","Files","",""
