"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Tue Dec 16 14:10:12 UTC 2025","passed","Tue Dec 16 14:10:12 UTC 2025","Get entity","Users","",""
"","499","Create user","LMS service","Tue Dec 16 14:10:11 UTC 2025","passed","Tue Dec 16 14:10:11 UTC 2025","Create entity","Users","",""
"","14","Get file","LMS service","Tue Dec 16 14:10:09 UTC 2025","passed","Tue Dec 16 14:10:09 UTC 2025","Get entity","Files","",""
"","45","Get exercise","LMS service","Tue Dec 16 14:10:06 UTC 2025","passed","Tue Dec 16 14:10:06 UTC 2025","Get entity","Exercises","",""
"","21","Create file","LMS service","Tue Dec 16 14:10:08 UTC 2025","passed","Tue Dec 16 14:10:08 UTC 2025","Create entity","Files","",""
"","27","Get courses","LMS service","Tue Dec 16 14:10:03 UTC 2025","passed","Tue Dec 16 14:10:03 UTC 2025","Get entities","Courses","",""
"","274","Create file with empty filename","LMS service","Tue Dec 16 14:10:10 UTC 2025","passed","Tue Dec 16 14:10:10 UTC 2025","Validate entity","Files","",""
"","528","Create user","LMS service","Tue Dec 16 14:10:11 UTC 2025","passed","Tue Dec 16 14:10:12 UTC 2025","Create entity","Users","",""
"","500","Create user","LMS service","Tue Dec 16 14:10:10 UTC 2025","passed","Tue Dec 16 14:10:11 UTC 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Tue Dec 16 14:10:05 UTC 2025","passed","Tue Dec 16 14:10:05 UTC 2025","Create entity","Exercises","",""
"","270","Login with correct email and password","LMS service","Tue Dec 16 14:10:03 UTC 2025","passed","Tue Dec 16 14:10:03 UTC 2025","Login","Authentication","",""
"","27","Create course","LMS service","Tue Dec 16 14:10:04 UTC 2025","passed","Tue Dec 16 14:10:04 UTC 2025","Create entity","Courses","",""
"","20","Update exercise","LMS service","Tue Dec 16 14:10:05 UTC 2025","passed","Tue Dec 16 14:10:05 UTC 2025","Update entity","Exercises","",""
"","238","Get file with incorrect file id","LMS service","Tue Dec 16 14:10:11 UTC 2025","passed","Tue Dec 16 14:10:11 UTC 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Tue Dec 16 14:10:06 UTC 2025","passed","Tue Dec 16 14:10:07 UTC 2025","Delete entity","Exercises","",""
"","281","Update course","LMS service","Tue Dec 16 14:10:04 UTC 2025","passed","Tue Dec 16 14:10:04 UTC 2025","Update entity","Courses","",""
"","22","Get exercises","LMS service","Tue Dec 16 14:10:08 UTC 2025","passed","Tue Dec 16 14:10:08 UTC 2025","Get entities","Exercises","",""
"","18","Create file with empty directory","LMS service","Tue Dec 16 14:10:10 UTC 2025","passed","Tue Dec 16 14:10:10 UTC 2025","Validate entity","Files","",""
"","18","Delete file","LMS service","Tue Dec 16 14:10:09 UTC 2025","passed","Tue Dec 16 14:10:09 UTC 2025","Delete entity","Files","",""
